교육주차,기수,교육과정,교육기간,교육시작일,교육종료일,인원
11월 1주차 (11.3.~11.7.),3,가야사 바로알기,3일,2025-11-05,2025-11-07,30
11월 1주차 (11.3.~11.7.),2,파워포인트 활용 과정,1일,2025-11-07,2025-11-07,30
11월 2주차 (11.10.~11.14.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
11월 2주차 (11.10.~11.14.),5,신규임용(후보)자 과정,3주,2025-11-03,2025-11-21,180
11월 2주차 (11.10.~11.14.),3,생성형 AI실습 과정,3일,2025-11-12,2025-11-14,30
11월 2주차 (11.10.~11.14.),2,경남의 복지과정(★),2일,2025-11-13,2025-11-14,20
11월 2주차 (11.10.~11.14.),4,"세대와 마음을 잇는 소통 ON, 공감 UP",2일,2025-11-13,2025-11-14,20
11월 3주차 (11.17.~11.21.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
11월 3주차 (11.17.~11.21.),5,신규임용(후보)자 과정,3주,2025-11-03,2025-11-21,180
11월 3주차 (11.17.~11.21.),6,신규임용(후보)자 과정,3주,2025-11-17,2025-12-05,180
11월 3주차 (11.17.~11.21.),3,시·군 팀장 역량향상 과정,3일,2025-11-19,2025-11-21,20
11월 3주차 (11.17.~11.21.),2,기후위기 적응·대응 과정,2일,2025-11-20,2025-11-21,20
11월 3주차 (11.17.~11.21.),5,엑셀 활용 과정,1일,2025-11-21,2025-11-21,30
11월 4주차 (11.24.~11.28.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
11월 4주차 (11.24.~11.28.),6,신규임용(후보)자 과정,3주,2025-11-17,2025-12-05,180
11월 4주차 (11.24.~11.28.),4,스마트기기 활용 과정,3일,2025-11-26,2025-11-28,30
11월 4주차 (11.24.~11.28.),2,중대재해 예방 실무 과정,1일,2025-11-28,2025-11-28,100
12월 1주차 (12.1.~12.5.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
12월 1주차 (12.1.~12.5.),6,신규임용(후보)자 과정,3주,2025-11-17,2025-12-05,180
12월 1주차 (12.1.~12.5.),7,신규임용(후보)자 과정,3주,2025-12-01,2025-12-19,180
12월 1주차 (12.1.~12.5.),3,명품 스피치 과정,3일,2025-12-03,2025-12-05,20
12월 1주차 (12.1.~12.5.),5,업무용 오피스 활용 과정,3일,2025-12-03,2025-12-05,30
12월 1주차 (12.1.~12.5.),2,다문화와 사회통합 교육과정(★),2일,2025-12-04,2025-12-05,20
12월 2주차 (12.8.~12.12.),22,중견리더 과정,43주,2025-02-17,2025-12-12,88
12월 2주차 (12.8.~12.12.),7,신규임용(후보)자 과정,3주,2025-12-01,2025-12-19,180
12월 2주차 (12.8.~12.12.),6,한글 활용 과정,1일,2025-12-12,2025-12-12,30
12월 3주차 (12.15.~12.19.),7,신규임용(후보)자 과정,3주,2025-12-01,2025-12-19,180
12월 3주차 (12.15.~12.19.),3,전입공무원 역량 향상 과정,1일,2025-12-17,2025-12-19,30
12월 3주차 (12.15.~12.19.),3,기획능력 향상 과정,3일,2025-12-17,2025-12-19,30
12월 3주차 (12.15.~12.19.),6,재난관리 실무 과정,3일,2025-12-17,2025-12-19,40
12월 3주차 (12.15.~12.19.),7,시·군 팀장 리더십 과정,3일,2025-12-17,2025-12-19,20
